Study,Publication years,Reference NO.,Experiment name,Treatment,Nitrogen,Tdelta,Note (temperature type),Lat,Long,biome type,MAP,MAT,Soil type,Additional soil info,N-class,SCN,Extracted,Source ,Ecosystems,Warming method,Vegetation type,Total-Biomass.control,Csd,Total-Biomass.warmed,Tsd,n,RR,Variance (v),,Aoveground -Biomass.control,Csd,Aboveground-Biomass.warmed,Tsd,n,RR,Variance (v),,Belowground-Biomass.control,Csd,Belowground-Biomass.warmed,Tsd,n,RR,Variance (v),Note,Duration,,Source,Data source ,Species-1,Species-2,Species-3,Mycorrhizal Type
Jarvi,2013,1,"Ford Forestry Center,  Michigan Technological University",,n,4.9,soil temperature,46.64,-88.48,Temperate,879,4.4,,,H,5.3,,,Forest,infrared heater,Woody,,,,,,,,,,,,,,,,,344,30,370,126,4,0.072861348,0.030893331,Fine root biomass,1.6,,"Jarvi et al., Tree Physiology, 949-959",Table 2,sugar maple,Ulmus americana L.,Tsuga canadensis (L.) Carrière,ECM
Jarvi,2013,1,"Ford Forestry Center,  Michigan Technological University",+h2o,n,4.9,soil temperature,46.64,-88.48,Temperate,879,4.4,,,H,5.3,,,Forest,infrared heater,Woody,,,,,,,,,,,,,,,,,391,58,389,178,4,-0.005128216,0.057846686,Fine root biomass,1.6,,"Jarvi et al., Tree Physiology, 949-959",Table 2,sugar maple,Ulmus americana L.,Tsuga canadensis (L.) Carrière,ECM
Saleska,2002,2,,,n,0.825,soil temperature,38.9572,-106.989,Temperate,519,0.5,subalpine cryoboroll soil,"well-drained, deep and rocky, noncalcareous glacial",H,12.11 ,,"Shaw et al., 2001, Global Change Biology, 193-210, Table 1",Grassland,infrared heater,Herb,255,96.15092303,224,134.1640786,5,-0.129617493,0.100182666,,105,6.708203932,104,22.36067977,5,-0.009569451,0.010061889,,150,89.4427191,120,111.8033989,5,-0.223143551,0.288125,Deschampsia +Fine root biomass,5,,"Saleska et al.,2002,Global Biogeochemical Cycles,doi:10.1029/2001GB001573", Table 2,Artemisia tridentata ssp. vaseyana,Festuca thurberi Vasey (Poaceae),,AM
Zhang,2015,3,Songnen Grassland Ecological Research Station,,n,1.75,soil temperature,44.75,123.75,Temperate,400,5.2,sodic saline meadow soil,3%-4% organic matter of surface,H,8.54 ,,Zhang Nanyi's Phd diseteration.2013,Grassland,infrared heater,Herb,305.8534,13.4227,247.8929,19.768,6,-0.210109104,0.001380852,,282.3129252,15.30612245,221.0884354,17.00680272,6,-0.244453338,0.002952209,,21.7544,0.7017,23.1579,2.807,6,0.062519939,0.002622101,data taken from 2009,3.3,,"Zhang et al., 2015, Plos One, DOI:10.1371/journal.pone.0123160.", Figure 5,Stipa baicalensis,Leymus chinensis,Artemisia frigida,AM
Zhang,2015,3,Songnen Grassland Ecological Research Station,+N,y,0.58,soil temperature,44.75,123.75,Temperate,400,5.2,sodic saline meadow soil,3%-4% organic matter of surface,H,7.31 ,,Zhang Nanyi's Phd diseteration.2013,Grassland,infrared heater,Herb,335.8568,8.8161,351.3995,51.5701,6,0.045238874,0.00370441,,309.541,6.36,324.382,48.763,6,0.043249984,0.00876471,,26.3158,2.4561,27.0175,2.8071,6,0.026315285,0.003250981,data taken from 2009,3.3,,"Zhang et al., 2015, Plos One, DOI:10.1371/journal.pone.0123160. Figure 6", Figure 5,Stipa baicalensis,Leymus chinensis,Artemisia frigida,AM
Bjork-1,2007,4,Latnjajaure,,n,2.5,soil temperature,68.35,18.82,Tundra,390,-0.1,shallow Pergelic Cryorthent,loamy-sand texture,L,18.5,,"Bjork et al., 2007, New Phytologist, 862-873, Table 1",Shrubland,OTC,Woody,,,,,,,,,,,,,,,,,163.2,32.6,225,45,4,0.32112396,0.019975505,dry heath,10.2,,"Bjork et al., 2007, New Phytologist, 862-873",Table 2,Stereocaulon alpinum,Ochrolechia frigida, Betula Nana,ECM
Bjork-2,2007,4,Latnjajaure,,n,2.5,soil temperature,68.35,18.82,Tundra,390,-0.1,shallow Pergelic Cryorthent,loamy-sand texture,L,18,,"Bjork et al., 2007, New Phytologist, 862-873, Table 1",Grassland,OTC,Herb,,,,,,,,,,,,,,,,,446.1,89.2,471.9,94.2,4,0.056223957,0.01995741,dry meadow,10.2,,"Bjork et al., 2007, New Phytologist, 862-873",Table 2,Stereocaulon alpinum,Ochrolechia frigida, Betula Nana,AM
Rinnan,2008,5,"Close to Abisko Scientific Research
Station",,n,3.5,soil temperature,68.35,20.82,Tundra,463.95,-2.7,,highly organic and always moist,L,24.5,,"Rinnan et al., 2008, Applied soil ecology, 271-281, Table 2",Shrubland,passive warming,Woody,,,,,,,,,,,,,,,,,17.31,3.34,19.71,2.94,3,0.129841752,0.019826684,,7,,"Rinnan et al., 2008, Applied soil ecology, 271-281",Table 1,Empetrum hermaphroditum,Andromeda polifolia,Betula nana,ECM
Rinnan,2008,5,"Close to Abisko Scientific Research
Station",+litter,n,3.5,soil temperature,68.35,20.82,Tundra,463.95,-2.7,,highly organic and always moist,L,24.5,,"Rinnan et al., 2008, Applied soil ecology, 271-281, Table 2",Shrubland,passive warming,Woody,,,,,,,,,,,,,,,,,17,3.5,18.9,3.43,3,0.105948578,0.02510769,,7,,"Rinnan et al., 2008, Applied soil ecology, 271-281",Table 1,Empetrum hermaphroditum,Andromeda polifolia,Betula nana,ECM
Day,2008,6,Palmer Station,,n,2.3,air temperature,-64.78,-64,Tundra,750,-1.7,,sandy-loam glacial drift,L,20,,"Day et al., Oecologia (1999) 119,24-35",Grassland,passive warming,Herb,5944,579.7,6992.9,717.1,3,0.162513041,0.006675787,,318.5,55.4,401.6,65.6,3,0.231834093,0.01897912,,5117.1,424.3,5786.3,565.1,3,0.122905182,0.005471072,,3,,"Day et al., 2008, Global Change Biology, 1827-1843",Table 2,C. quitensis,D. antarctica,,AM
